"Forecast","Outcome"
0.701408075937064,1
0.357127963791081,0
0.111563981722113,0
0.745179179603187,0
0.177363886867528,0
0.701338276738314,0
0.287470855333564,0
0.641404370884331,1
0.135903111152114,0
0.410517617907836,1
0.433116799051025,0
0.885128913106986,1
0.208734847801414,0
0.565791856954749,0
0.588643975450717,1
0.603719224597313,1
0.735931476893849,0
0.0931903304488101,1
0.40831843156492,1
0.580156772651085,1
0.75755578542994,1
0.733435551951089,1
0.281077666335735,0
0.357828036715878,0
0.0884675875673133,0
0.511460357652813,0
0.115277824212125,0
0.250415024120614,0
0.673526513679657,1
0.707034984296897,1
0.357970496567906,1
0.76532322182373,1
0.392812063414271,1
0.367264103161103,0
0.571429716560337,0
0.198851702504603,0
0.377898724810551,0
0.900863739003779,1
0.525983103262056,1
0.52061864054668,0
0.676076888296177,0
0.557997614049797,0
0.732437557604221,1
0.539383836569218,1
0.435858567053176,0
0.410337989488725,1
0.485066354605035,1
0.433539153131247,1
0.405322946888198,1
0.294296391054224,1
0.267955388618898,1
0.353668299650329,1
0.285633808824424,0
0.753118754959037,0
0.508069737835601,0
0.72177937244975,1
0.293066529960346,0
0.623816030314017,0
0.289331185977493,0
0.19481525202016,0
0.41194409417696,1
0.390062095310945,1
0.654934068765205,1
0.429815232230891,0
0.677117183688226,0
0.662996506898999,0
0.420195097699124,0
0.838202715832228,1
0.965888865041758,0
0.539091624368482,1
0.275912945887853,0
0.465344218312757,0
0.634186581895083,1
0.449213511369607,1
0.219185597047307,0
0.48010387537188,1
0.826844582873056,1
0.457684083880702,1
0.346983209328996,0
0.323641308266442,0
0.430944614319505,0
0.498503332292624,1
0.395835321271414,0
0.800097970282828,0
0.684216497980875,1
0.317233856916121,0
0.279469395345416,0
0.41514384764696,1
0.429824559001657,1
0.491799551919965,1
0.507229073793489,0
0.293554013105664,0
0.329232378873691,0
0.32738648922816,0
0.271999363732909,1
0.731150612814323,1
0.312647598683155,0
0.496983147291483,0
0.151137803718211,0
0.846582887603318,1
0.643876798584685,1
0.628920354494822,1
0.65125518558612,0
0.0203482857507665,0
0.226057840605671,0
0.461627916693489,0
0.362364416667235,0
0.283900694578121,0
0.813457557739571,1
0.260761870423359,0
0.489343636519042,1
0.40125253070677,0
0.0602258347493611,0
0.226641659760016,0
0.662529607077598,1
0.719411746530445,1
0.108790412405507,0
0.568985903067053,0
0.675235013127141,1
0.306608968925314,0
0.400475234794612,0
0.29710629307899,0
0.235661320837643,0
0.769259924846795,0
0.812968106663937,1
0.952828818283765,1
0.787113689294601,1
0.553257999879068,1
0.127228210064906,0
0.444114476915877,0
0.698092670304804,1
0.86755238568282,1
0.467002768767886,0
0.437374288865669,0
0.666872931635099,1
0.727926448832435,1
0.45705296092862,0
0.78629943723407,1
0.594254122258474,1
0.411040021498562,0
0.258151844859804,1
0.364883835792431,1
0.484982264717441,0
0.367183177684875,1
0.160616024842449,0
0.280324860459269,1
0.207874008606603,0
0.557022276875027,1
0.548423606084664,1
0.610165227416063,1
0.157039815272459,0
0.267394393146733,0
0.571305821004678,1
0.586794053959787,1
0.0529972656234945,0
0.332425343124898,1
0.149566104141515,0
0.561712094848472,0
0.775239005007419,1
0.476964328837373,0
0.560088246177645,1
0.262620527928388,0
0.549767916982886,0
0.225535258683977,0
0.352262220010071,1
0.769875550355653,0
0.380758464948698,0
0.769670979995996,1
0.633048315220346,1
0.42595367364722,0
0.44610097721519,1
0.662094386419907,1
0.381010133383615,0
0.257416146141118,0
0.403072599025728,0
0.621344313751278,0
0.196570058209876,0
0.521464147457188,1
0.4614662914437,1
0.0192556121257739,0
0.434905844018155,1
0.749000959117361,0
0.417294260405745,0
0.33741131549972,1
0.650497422664389,1
0.533427703328107,0
0.422206089093451,1
0.361484179816873,1
0.797141091907037,1
0.116638906909602,0
0.696907897510347,0
0.389729273273899,0
0.760871966804695,1
0.151112632018387,0
0.716919168843879,0
0.295495082215593,1
0.67636135877571,0
0.294059139050435,0
0.690182850176936,0
0.774730812179155,1
0.467442784861719,0
0.182423352636215,0
0.532939178260013,0
0.609673399228981,0
0.464262372033751,0
0.40118864555421,1
0.829855211014032,1
0.264184722652413,1
0.342351519672258,0
0.632063632747376,0
0.812593002194554,0
0.312788164720445,0
0.294274303332451,1
0.102955004903319,0
0.717005338225826,0
0.704020437079956,1
0.302044129310259,1
0.665415712118871,0
0.410924515875788,0
0.432426338535128,0
0.146581477419043,0
0.960942765071113,1
0.294219991561362,1
0.481771198672595,1
0.887939332865904,1
0.0355715154028669,0
0.34991211364387,1
0.462510545005546,0
0.420215361857706,0
0.483071279976367,1
0.458430481232025,1
0.361849419564884,1
0.821808500621281,0
0.476904910756933,1
0.607974018531976,0
0.462248216336587,1
0.731767842094354,1
0.754391468876954,1
0.7055588839204,1
0.508526816595031,1
0.275609887191745,0
0.834028358302666,1
0.410153800560098,1
0.886816240433541,1
0.319837364065776,0
